group,num_ants,alpha,beta,evaporation_rate,q_percentage,iterations,fitness
100x100,200,0.5,3.0,0.3,0.1,100,18435.53721342474
100x200,50,0.5,3.0,0.3,0.1,100,33047.90269953853
100x300,200,0.5,3.0,0.3,0.1,50,47246.347038687985
100x400,50,0.5,3.0,0.3,0.1,50,64713.51591335409
20x20,40,0.5,3.0,0.3,0.1,50,4386.930502246845
20x40,40,0.5,1.0,0.3,0.2,50,8810.801677492394
20x60,40,0.5,3.0,0.3,0.2,100,11158.115909122082
20x80,20,1.5,3.0,0.3,0.1,50,16618.2516413617
40x120,80,0.5,1.0,0.7,0.1,50,22421.020106289077
40x160,20,0.5,3.0,0.3,0.1,100,27354.76158713695
40x40,40,1.5,3.0,0.3,0.1,100,8428.49442288972
40x80,80,1.5,3.0,0.3,0.1,50,14331.39051804363
60x120,120,0.5,3.0,0.7,0.1,50,20734.05737512483
60x180,60,0.5,3.0,0.3,0.1,100,31147.873986738028
60x240,120,1.5,3.0,0.3,0.1,100,37512.824466406084
60x60,120,0.5,3.0,0.3,0.1,100,10591.855089785005
80x160,160,0.5,3.0,0.3,0.1,100,28832.414855611245
80x240,160,0.5,3.0,0.3,0.1,100,39084.62374808704
80x320,160,1.5,3.0,0.3,0.1,50,52130.826867105556
80x80,160,0.5,3.0,0.3,0.2,100,12446.88289072425
