folder,file,count,mean,median,std_dev,min,max
TTP_instances_100_items_100,results_SA_tsp_cities_100_items_100.json,1000,8583.06939226045,8548.322355254226,1869.155485302692,2467.9851545909105,15416.303286575698
TTP_instances_100_items_200,results_SA_tsp_cities_100_items_200.json,1000,20296.035552924735,20264.28207685677,2581.735417551857,11907.326941407708,27529.954771471927
TTP_instances_100_items_300,results_SA_tsp_cities_100_items_300.json,1000,32195.26918484658,32243.54906348809,3195.9575963455272,21714.160440574604,41546.924776559936
TTP_instances_100_items_400,results_SA_tsp_cities_100_items_400.json,1000,44457.57406725305,44592.70727507403,3924.326338249554,28574.32568295377,58242.50545023792
TTP_instances_20_items_20,results_SA_tsp_cities_20_items_20.json,1000,1253.028984638657,1207.2132890371136,749.5852448161497,-395.3254466441333,3613.5578931016653
TTP_instances_20_items_40,results_SA_tsp_cities_20_items_40.json,1000,3469.1645853786895,3446.904522267023,1212.661200143122,60.29944911830944,8057.323874084277
TTP_instances_20_items_60,results_SA_tsp_cities_20_items_60.json,1000,5812.671773530006,5858.891325093286,1431.8462569930375,1346.803857628112,10252.382934936226
TTP_instances_20_items_80,results_SA_tsp_cities_20_items_80.json,1000,8183.022037656729,8188.077777942573,1741.718998249049,2064.880128245861,14722.320169102022
TTP_instances_40_items_120,results_SA_tsp_cities_40_items_120.json,1000,12492.474827821427,12504.49460971886,2100.2772451657984,5623.732901977938,21784.047419223727
TTP_instances_40_items_160,results_SA_tsp_cities_40_items_160.json,1000,17115.40389990833,17128.44465291637,2396.722396435886,10236.649062728597,24078.60909686812
TTP_instances_40_items_40,results_SA_tsp_cities_40_items_40.json,1000,3260.323870448093,3196.0064337635813,1169.1491104729969,-85.75041633553508,8520.006812991109
TTP_instances_40_items_80,results_SA_tsp_cities_40_items_80.json,1000,7725.809657164495,7741.05797045935,1715.3289535636243,1459.5491043707775,13240.153047582557
TTP_instances_60_items_120,results_SA_tsp_cities_60_items_120.json,1000,11990.253737963374,12015.210615081123,2080.6200658414837,5292.911078429526,23204.68514950371
TTP_instances_60_items_180,results_SA_tsp_cities_60_items_180.json,1000,19121.360462584344,19119.545202416506,2605.427464057681,11265.868681768796,27184.213575948936
TTP_instances_60_items_240,results_SA_tsp_cities_60_items_240.json,1000,26277.234048017235,26236.66766733839,2954.9958509568432,16860.724889904683,35239.09652473572
TTP_instances_60_items_60,results_SA_tsp_cities_60_items_60.json,1000,5114.806093469765,5065.178730138656,1441.270536690425,801.5650964770077,9781.46365004274
TTP_instances_80_items_160,results_SA_tsp_cities_80_items_160.json,1000,16166.721532799884,16144.354127062186,2507.019524025604,9115.875854907843,24580.377526084507
TTP_instances_80_items_240,results_SA_tsp_cities_80_items_240.json,1000,25611.48205237688,25666.8709614502,3002.048117820026,15532.58394252626,34344.86677336552
TTP_instances_80_items_320,results_SA_tsp_cities_80_items_320.json,1000,35127.916032667694,35101.78775609028,3468.838536229236,23811.611866690695,45737.468102697036
TTP_instances_80_items_80,results_SA_tsp_cities_80_items_80.json,1000,6954.9895774244405,7020.270980110543,1622.4101792429021,2218.2614373659367,13760.2200343184
