folder,file,count,mean,median,std_dev,min,max
TTP_instances_100_items_100,results_SA_tsp_cities_100_items_100.json,1000,9096.230588571832,9115.623122195719,1930.449743991882,2990.7975572401033,16108.379900433549
TTP_instances_100_items_200,results_SA_tsp_cities_100_items_200.json,1000,21176.90217856149,21220.5883694874,2668.50896906477,12607.825230142744,29353.903920091598
TTP_instances_100_items_300,results_SA_tsp_cities_100_items_300.json,1000,33186.90174131563,33265.90022447698,3261.1910714743735,21818.15427718395,42781.021336771955
TTP_instances_100_items_400,results_SA_tsp_cities_100_items_400.json,1000,45460.67341888135,45517.105192381365,3997.4677102634023,28783.486108490528,58913.242759008834
TTP_instances_20_items_20,results_SA_tsp_cities_20_items_20.json,1000,1147.1310525601077,1089.5910530736114,769.2762546657106,-692.8389117959036,3631.909968038738
TTP_instances_20_items_40,results_SA_tsp_cities_20_items_40.json,1000,3337.7923375971063,3305.2627646916553,1222.9513970750877,32.41380484630622,7935.454303002853
TTP_instances_20_items_60,results_SA_tsp_cities_20_items_60.json,1000,5676.151351724533,5721.578781896969,1442.4599067583508,1197.799160164795,10112.357793093264
TTP_instances_20_items_80,results_SA_tsp_cities_20_items_80.json,1000,8051.561550965079,8059.338011535994,1734.2639926036936,2063.9504354982178,14658.23835663514
TTP_instances_40_items_120,results_SA_tsp_cities_40_items_120.json,1000,12419.797079807908,12421.927949390829,2097.9703707495596,5589.364372762857,21807.42473578236
TTP_instances_40_items_160,results_SA_tsp_cities_40_items_160.json,1000,17065.764933315975,17072.63021703901,2398.831909211628,10281.691023190184,24199.55297970216
TTP_instances_40_items_40,results_SA_tsp_cities_40_items_40.json,1000,3115.1636032586207,3060.918784623412,1175.6537029046096,-32.92860592926286,8478.537263980674
TTP_instances_40_items_80,results_SA_tsp_cities_40_items_80.json,1000,7611.984399622757,7626.362535797058,1719.1013858729043,1547.6645917908006,13388.028559358881
TTP_instances_60_items_120,results_SA_tsp_cities_60_items_120.json,1000,12080.644961945163,12119.419824201488,2101.235864800931,5320.149929397309,22853.276886384017
TTP_instances_60_items_180,results_SA_tsp_cities_60_items_180.json,1000,19299.957102331453,19330.06825302195,2632.335016289662,11351.487231985824,27199.073695059862
TTP_instances_60_items_240,results_SA_tsp_cities_60_items_240.json,1000,26495.486450843364,26478.905847733753,2991.729814093862,17233.894773124495,35625.96458076061
TTP_instances_60_items_60,results_SA_tsp_cities_60_items_60.json,1000,5055.810625438004,5040.4359512415485,1465.5479447288374,775.6414462448099,10052.575619726525
TTP_instances_80_items_160,results_SA_tsp_cities_80_items_160.json,1000,16607.805292772035,16572.788961055434,2540.204551440012,9960.66112774321,24638.65881298562
TTP_instances_80_items_240,results_SA_tsp_cities_80_items_240.json,1000,26149.497938131397,26199.573411503745,3078.1123409948823,16059.212969810838,35441.92996092867
TTP_instances_80_items_320,results_SA_tsp_cities_80_items_320.json,1000,35703.273167810155,35715.761952395944,3535.914196589139,24219.108205591903,46717.750118699085
TTP_instances_80_items_80,results_SA_tsp_cities_80_items_80.json,1000,7134.9908727663715,7158.397280345559,1657.0964830389064,2147.5584239012696,13937.583750607064
