folder,file,count,mean,median,std_dev,min,max
TTP_instances_100_items_100,results_SA_tsp_cities_100_items_100.json,1000,8671.608364546295,8691.538682768278,1914.3645107372859,2659.568163610904,15351.336662966929
TTP_instances_100_items_200,results_SA_tsp_cities_100_items_200.json,1000,20715.438342230515,20766.385936788716,2663.732179991508,12373.47105692669,28702.223183627106
TTP_instances_100_items_300,results_SA_tsp_cities_100_items_300.json,1000,32737.854055174404,32798.79854294886,3253.9413382053526,21574.226261402404,42253.71474262055
TTP_instances_100_items_400,results_SA_tsp_cities_100_items_400.json,1000,44975.40039405602,45036.957272850326,3982.7251889729264,28275.056810963713,57951.776809170195
TTP_instances_20_items_20,results_SA_tsp_cities_20_items_20.json,1000,1188.1953783020324,1132.3494921201004,770.2334699919129,-670.8389117959032,3689.9346487400326
TTP_instances_20_items_40,results_SA_tsp_cities_20_items_40.json,1000,3390.8962809144955,3361.4486352864237,1224.0844395721276,76.90675971663495,8081.223342252067
TTP_instances_20_items_60,results_SA_tsp_cities_20_items_60.json,1000,5733.591291057099,5776.434310735236,1444.775820145233,1353.9787457844204,10166.514197478156
TTP_instances_20_items_80,results_SA_tsp_cities_20_items_80.json,1000,8114.934792384134,8122.768788154539,1739.8739393068838,2095.1118322356897,14732.299471541091
TTP_instances_40_items_120,results_SA_tsp_cities_40_items_120.json,1000,12500.157278334264,12488.793023387258,2105.309453860038,5807.6296810062695,21922.93794348412
TTP_instances_40_items_160,results_SA_tsp_cities_40_items_160.json,1000,17143.096834980166,17115.123812011247,2401.909070756581,10376.688131944722,24197.093784161978
TTP_instances_40_items_40,results_SA_tsp_cities_40_items_40.json,1000,3164.550010027281,3109.0276076371892,1175.5657821657646,-25.285697875093206,8527.506523377939
TTP_instances_40_items_80,results_SA_tsp_cities_40_items_80.json,1000,7679.884865742182,7683.589346344912,1720.1762075631636,1501.629018955011,13632.93341537071
TTP_instances_60_items_120,results_SA_tsp_cities_60_items_120.json,1000,12064.052400620893,12079.834533108231,2102.652728107345,5263.3071824630115,23391.442892839717
TTP_instances_60_items_180,results_SA_tsp_cities_60_items_180.json,1000,19278.710897061974,19311.88214097741,2638.3112390782467,11408.480838889134,27558.83995025933
TTP_instances_60_items_240,results_SA_tsp_cities_60_items_240.json,1000,26491.67846839725,26476.70822930851,2991.679364762746,17238.315066411007,35655.385018586756
TTP_instances_60_items_60,results_SA_tsp_cities_60_items_60.json,1000,5018.707844811962,5010.85391930369,1463.1148903572525,726.1104307071173,10075.445875263187
TTP_instances_80_items_160,results_SA_tsp_cities_80_items_160.json,1000,16404.771323009136,16397.27449776703,2550.0505090019897,9651.485407959251,24540.20740788262
TTP_instances_80_items_240,results_SA_tsp_cities_80_items_240.json,1000,25947.34847258965,25981.457991206393,3071.5911130737477,15995.553307998953,35300.52126670154
TTP_instances_80_items_320,results_SA_tsp_cities_80_items_320.json,1000,35491.757387032936,35605.35046231563,3537.698663114059,23856.89620305719,46662.45091813875
TTP_instances_80_items_80,results_SA_tsp_cities_80_items_80.json,1000,6931.047064267579,6968.919021747101,1653.8479465366365,1956.5928980195852,13694.463762022318
