folder,file,count,mean,median,std_dev,min,max
TTP_instances_100_items_100,results_SA_tsp_cities_100_items_100.json,1000,8826.399754065842,8829.20332434373,1918.8506782910983,2987.1187756044606,16063.069195432276
TTP_instances_100_items_200,results_SA_tsp_cities_100_items_200.json,1000,20896.268677672437,20904.928517678833,2664.0898061626567,12458.883229928153,28636.333664623973
TTP_instances_100_items_300,results_SA_tsp_cities_100_items_300.json,1000,32890.20808106299,32965.815153647665,3250.067193492456,21732.36441605895,42287.88937043458
TTP_instances_100_items_400,results_SA_tsp_cities_100_items_400.json,1000,45146.53885166731,45168.10862526293,3981.8243349273225,28517.07858579974,58470.509256391095
TTP_instances_20_items_20,results_SA_tsp_cities_20_items_20.json,1000,1147.6511793647219,1098.5656529651378,767.3193405149354,-684.8389117959032,3609.0461267110377
TTP_instances_20_items_40,results_SA_tsp_cities_20_items_40.json,1000,3340.3853456863444,3290.260945235408,1226.7189818672084,55.25565780441525,8013.9640649770245
TTP_instances_20_items_60,results_SA_tsp_cities_20_items_60.json,1000,5676.678198243944,5717.162098141733,1443.2165391960646,1343.0826916417168,10055.75200534723
TTP_instances_20_items_80,results_SA_tsp_cities_20_items_80.json,1000,8051.042165379423,8050.583373944928,1738.095338105187,2037.8315949265,14783.052979676104
TTP_instances_40_items_120,results_SA_tsp_cities_40_items_120.json,1000,12424.93316205654,12414.64265828949,2097.147141712566,5723.8157102595005,21850.09135185988
TTP_instances_40_items_160,results_SA_tsp_cities_40_items_160.json,1000,17058.158295509435,17062.472014097526,2398.3702804907616,10260.85297457995,24058.683397208893
TTP_instances_40_items_40,results_SA_tsp_cities_40_items_40.json,1000,3113.993747231667,3055.361663607288,1178.555871687741,-192.60287535192856,8484.931451143064
TTP_instances_40_items_80,results_SA_tsp_cities_40_items_80.json,1000,7615.193021304322,7625.5155494412,1721.3438143215874,1400.6882404723187,13424.405118994739
TTP_instances_60_items_120,results_SA_tsp_cities_60_items_120.json,1000,12049.950755831647,12077.881702278199,2097.8433220324446,5269.859294802812,22955.41590341755
TTP_instances_60_items_180,results_SA_tsp_cities_60_items_180.json,1000,19283.753596134615,19263.765177215224,2633.719375458528,11307.294200309945,27502.06553065307
TTP_instances_60_items_240,results_SA_tsp_cities_60_items_240.json,1000,26471.36912877969,26477.016975567356,2988.293157327185,17072.758389248087,35917.40486996254
TTP_instances_60_items_60,results_SA_tsp_cities_60_items_60.json,1000,5027.959737017911,4978.181125741119,1469.1226723087225,777.362058553354,10085.18688733261
TTP_instances_80_items_160,results_SA_tsp_cities_80_items_160.json,1000,16484.39099660433,16477.468469589287,2540.927969253172,9716.447955917263,24442.633899073742
TTP_instances_80_items_240,results_SA_tsp_cities_80_items_240.json,1000,26025.42897050288,26137.42070771498,3071.814870993882,15779.847106210851,35451.64774344939
TTP_instances_80_items_320,results_SA_tsp_cities_80_items_320.json,1000,35564.24107697235,35657.70667600451,3522.4010949430235,23965.496734117678,46785.876106024625
TTP_instances_80_items_80,results_SA_tsp_cities_80_items_80.json,1000,7013.0390884410535,7029.74725048193,1653.7361240377584,2092.201477619032,13968.025597076703
