folder,file,count,mean,median,std_dev,min,max
TTP_instances_100_items_100,results_SA_tsp_cities_100_items_100.json,1000,3707.1460695048013,3664.547274893788,1823.5223194818454,-1114.3986434244289,10638.600187277909
TTP_instances_100_items_200,results_SA_tsp_cities_100_items_200.json,1000,15113.90261205846,15125.401718801535,2561.597960718759,5895.524147299295,22472.023549656253
TTP_instances_100_items_300,results_SA_tsp_cities_100_items_300.json,1000,26870.449624836045,26842.651125809905,3118.5048422971086,17172.6806721463,36857.40232724039
TTP_instances_100_items_400,results_SA_tsp_cities_100_items_400.json,1000,38974.597103928405,39029.00589071384,3823.235651972946,23570.886074678358,51787.64971286603
TTP_instances_20_items_20,results_SA_tsp_cities_20_items_20.json,1000,869.4324913335398,826.5072071087077,762.5985541391733,-1057.4062186944095,3339.361912404828
TTP_instances_20_items_40,results_SA_tsp_cities_20_items_40.json,1000,3020.1804992619996,2985.5446992195925,1212.7424013739899,-210.27744615374263,7692.053807639173
TTP_instances_20_items_60,results_SA_tsp_cities_20_items_60.json,1000,5338.234868466653,5366.04595489476,1437.0298224325852,1015.5799953438809,9743.984289333466
TTP_instances_20_items_80,results_SA_tsp_cities_20_items_80.json,1000,7697.226744220654,7705.809181553872,1724.6472857279625,1847.2685168565527,14148.239875045645
TTP_instances_40_items_120,results_SA_tsp_cities_40_items_120.json,1000,10905.916722566217,10905.915900853684,2054.254051030463,4582.333535881811,20331.64518903599
TTP_instances_40_items_160,results_SA_tsp_cities_40_items_160.json,1000,15490.512639733262,15456.6330086286,2345.761575017249,8695.581096623802,22560.735941800856
TTP_instances_40_items_40,results_SA_tsp_cities_40_items_40.json,1000,1852.6847137045445,1804.771437636338,1151.816821888474,-1214.6784740049047,7162.141336121361
TTP_instances_40_items_80,results_SA_tsp_cities_40_items_80.json,1000,6177.265762091725,6142.19062868525,1670.2855248737767,320.79154503075006,11900.010052463722
TTP_instances_60_items_120,results_SA_tsp_cities_60_items_120.json,1000,9279.96324071768,9292.338740406454,2027.7643359527658,3233.4396866109855,19779.689126750767
TTP_instances_60_items_180,results_SA_tsp_cities_60_items_180.json,1000,16301.019752358608,16318.431550555568,2537.908046705663,9180.725262130232,24729.81377475126
TTP_instances_60_items_240,results_SA_tsp_cities_60_items_240.json,1000,23428.004307933687,23400.137640457728,2901.066294020459,14551.696084826974,32202.360778908278
TTP_instances_60_items_60,results_SA_tsp_cities_60_items_60.json,1000,2526.7861861306296,2442.0533771865225,1433.308330967431,-1699.8350647989046,7439.4639710703905
TTP_instances_80_items_160,results_SA_tsp_cities_80_items_160.json,1000,12222.95366162442,12156.55535898892,2444.210313482433,5050.621466916307,19954.230999246935
TTP_instances_80_items_240,results_SA_tsp_cities_80_items_240.json,1000,21588.95150407923,21637.98808798031,2931.681797316845,11414.653745347612,30267.87694921577
TTP_instances_80_items_320,results_SA_tsp_cities_80_items_320.json,1000,30998.758460957764,31015.996376029674,3380.159631311321,20543.715673963718,42085.44662839765
TTP_instances_80_items_80,results_SA_tsp_cities_80_items_80.json,1000,3192.1170258328375,3269.5153514198682,1562.1475240780157,-1552.0928765432864,8783.02006342341
