folder,file,count,mean,median,std_dev,min,max
TTP_instances_100_items_100_1,results_aco_100_items_100_1.json,250,14196.493441646295,14164.76120881993,1444.7915953742888,11150.961076104471,19433.866944228692
TTP_instances_100_items_100_2,results_aco_100_items_100_2.json,250,14155.22666330284,14021.264112177303,1358.7078963838403,11301.943650108897,18412.088602628213
TTP_instances_100_items_100_3,results_aco_100_items_100_3.json,250,14132.8872014844,14092.976517385212,1418.0508385063931,10507.230639727717,19662.765758784684
TTP_instances_100_items_100_4,results_aco_100_items_100_4.json,250,14205.23677456912,14053.804527164211,1434.7849795279967,10833.214680073768,18573.6770076522
TTP_instances_100_items_200_1,results_aco_100_items_200_1.json,250,28696.794603947197,28619.214203708227,1973.753827284642,23366.009829965322,34543.138411803586
TTP_instances_100_items_200_2,results_aco_100_items_200_2.json,250,28825.2887357437,28822.288025451307,1684.5596212460196,24257.14076814454,34768.30354541978
TTP_instances_100_items_200_3,results_aco_100_items_200_3.json,250,28948.542640312127,28823.901741657428,2023.9666504657805,23365.08557162691,37023.44983607718
TTP_instances_100_items_200_4,results_aco_100_items_200_4.json,250,29062.21215936541,29090.85343930371,1746.7609659675923,24997.81532693494,33612.52330287153
TTP_instances_100_items_300_1,results_aco_100_items_300_1.json,250,43058.771395901924,42898.34897682477,2295.589820787701,37917.32601459915,51691.72954914837
TTP_instances_100_items_300_2,results_aco_100_items_300_2.json,250,43295.37053017953,43271.07441937695,2097.8543624855574,37145.619834880716,50966.391455460674
TTP_instances_100_items_300_3,results_aco_100_items_300_3.json,250,43104.201137855365,43064.72280452266,2283.2860748391718,36156.28172099827,52334.801287312854
TTP_instances_100_items_300_4,results_aco_100_items_300_4.json,250,43275.88598049493,43070.14045634649,2092.2876771725687,38495.985787835314,50361.58865481167
TTP_instances_100_items_400_1,results_aco_100_items_400_1.json,250,57222.23854474226,57123.763187615084,2483.1600941980573,51111.99172915552,67281.0864595612
TTP_instances_100_items_400_2,results_aco_100_items_400_2.json,250,57312.50976304607,57345.097041802685,2292.4393342579865,50369.33697395772,64306.18177369471
TTP_instances_100_items_400_3,results_aco_100_items_400_3.json,250,57188.168725663265,57207.64515723156,2403.4442374229716,48604.84336786727,65050.357323442266
TTP_instances_100_items_400_4,results_aco_100_items_400_4.json,250,57256.65511326858,57203.69779790435,2377.684267320456,51240.72791716087,63317.989397591555
