folder,file,count,mean,median,std_dev,min,max
TTP_instances_100_items_100,results_hillclimber_tsp_cities_100_items_100.json,1000,2033.4038099093711,2108.910962562847,2227.216134074176,-6507.904703685608,8931.122960583076
TTP_instances_100_items_200,results_hillclimber_tsp_cities_100_items_200.json,1000,12987.348609569755,13133.543672736287,2910.0420413500665,1929.792882241154,21383.467425801828
TTP_instances_100_items_300,results_hillclimber_tsp_cities_100_items_300.json,1000,24624.62435907198,24639.56371763494,3473.102740791528,11241.154146371544,34315.49688816193
TTP_instances_100_items_400,results_hillclimber_tsp_cities_100_items_400.json,1000,36819.92095254358,36982.35112048377,4025.0566218800855,22513.66805386472,49472.634926913044
TTP_instances_20_items_20,results_hillclimber_tsp_cities_20_items_20.json,1000,681.4800606192939,644.2071348493942,718.7060085868632,-836.4372634475765,3240.8144082006984
TTP_instances_20_items_40,results_hillclimber_tsp_cities_20_items_40.json,1000,2788.3359852846647,2718.8399239631153,1189.0037365296369,-547.0654915317446,7413.001269132286
TTP_instances_20_items_60,results_hillclimber_tsp_cities_20_items_60.json,1000,5071.4781743565545,5103.916312101041,1406.88406212643,747.240843545311,9330.553546728923
TTP_instances_20_items_80,results_hillclimber_tsp_cities_20_items_80.json,1000,7417.6268333489115,7440.820258812763,1709.9330263102142,1499.5694869075824,13467.544902977746
TTP_instances_40_items_120,results_hillclimber_tsp_cities_40_items_120.json,1000,10221.246151271169,10208.200055668673,2057.6113264943683,4274.8629797175345,19855.91624123018
TTP_instances_40_items_160,results_hillclimber_tsp_cities_40_items_160.json,1000,14749.794289776546,14743.395959664702,2355.601996205289,8168.842292469434,21973.89664942341
TTP_instances_40_items_40,results_hillclimber_tsp_cities_40_items_40.json,1000,1407.8918603801835,1359.2739340706971,1155.3434713562895,-1804.2823500364484,6860.567989019632
TTP_instances_40_items_80,results_hillclimber_tsp_cities_40_items_80.json,1000,5564.866196756702,5535.144618784478,1692.2728615736125,-49.60906396992368,11810.895682020095
TTP_instances_60_items_120,results_hillclimber_tsp_cities_60_items_120.json,1000,8209.951298268796,8170.306423605108,2111.89781133621,1878.4200241415474,18794.802720462576
TTP_instances_60_items_180,results_hillclimber_tsp_cities_60_items_180.json,1000,15084.344856636166,15154.38828403538,2578.8086066080805,4675.477158749016,23958.215961979833
TTP_instances_60_items_240,results_hillclimber_tsp_cities_60_items_240.json,1000,22153.93767498339,22109.920330597444,2938.081793713459,13192.614298127728,30019.459414478926
TTP_instances_60_items_60,results_hillclimber_tsp_cities_60_items_60.json,1000,1706.7374678826156,1614.8470033178937,1495.5242368573788,-3758.7881192297564,6364.26304122462
TTP_instances_80_items_160,results_hillclimber_tsp_cities_80_items_160.json,1000,10679.076706097432,10634.217275651452,2612.8244803322805,2611.7054823190156,19839.489447216663
TTP_instances_80_items_240,results_hillclimber_tsp_cities_80_items_240.json,1000,19923.566913094153,20059.079993243828,3049.7895732945212,10248.49044442835,28363.816047826134
TTP_instances_80_items_320,results_hillclimber_tsp_cities_80_items_320.json,1000,29339.03981626398,29260.67290012083,3429.150357613679,18340.855612377985,40471.871946295
TTP_instances_80_items_80,results_hillclimber_tsp_cities_80_items_80.json,1000,1877.719951102201,1979.128031421712,1743.820860571384,-3837.446932379433,6989.819958825585
