folder,file,count,mean,median,std_dev,min,max
TTP_instances_100_items_100,results_random_iteration_1_cities_100_items_100.json,1000,-2533.490200642291,-1354.396597068714,4995.895013653808,-23918.47494357312,6658.087070831072
TTP_instances_100_items_200,results_random_iteration_1_cities_100_items_200.json,1000,9493.890473069232,10274.113774145766,4348.698245742911,-7947.639801080153,20057.67170566217
TTP_instances_100_items_300,results_random_iteration_1_cities_100_items_300.json,1000,21743.193988740884,22084.925546821803,4401.6361722490365,2168.897525797416,32835.06835699869
TTP_instances_100_items_400,results_random_iteration_1_cities_100_items_400.json,1000,34408.56377059558,34690.244573175216,4545.624178822336,16461.934216243855,48813.21453638809
TTP_instances_20_items_20,results_random_iteration_1_cities_20_items_20.json,1000,-565.11897767413,-408.3021040678625,1341.1390550642489,-6367.006753487861,2971.5365153218117
TTP_instances_20_items_40,results_random_iteration_1_cities_20_items_40.json,1000,1540.7484635021244,1580.0917095566451,1543.7929467821011,-3926.4854095261344,6843.333656175064
TTP_instances_20_items_60,results_random_iteration_1_cities_20_items_60.json,1000,3892.0249059100483,3990.153999622865,1708.109724604751,-1319.0080478560913,8690.28851781059
TTP_instances_20_items_80,results_random_iteration_1_cities_20_items_80.json,1000,6344.50941143455,6345.048697540151,1845.5593525751933,-355.7508445622843,12902.151519566289
TTP_instances_40_items_120,results_random_iteration_1_cities_40_items_120.json,1000,8438.879294607017,8655.08556726724,2492.4185843073524,-3569.9737376051653,17228.69610454177
TTP_instances_40_items_160,results_random_iteration_1_cities_40_items_160.json,1000,13054.159693960946,13087.468608268713,2651.823486759319,3237.8186746642896,21119.67888068749
TTP_instances_40_items_40,results_random_iteration_1_cities_40_items_40.json,1000,-1040.0436316044436,-614.6189205390792,2309.7384141658827,-12902.415163234824,4701.66050300228
TTP_instances_40_items_80,results_random_iteration_1_cities_40_items_80.json,1000,3511.3740011369605,3746.1614742619277,2428.844901267492,-6488.098053805777,10709.927261675759
TTP_instances_60_items_120,results_random_iteration_1_cities_60_items_120.json,1000,5535.943022633746,5871.9344245991,3210.6501686554902,-7278.698607145634,17127.10494582063
TTP_instances_60_items_180,results_random_iteration_1_cities_60_items_180.json,1000,12677.262417044936,12916.29927240198,3203.6929463861243,-4124.089585015292,22792.96452848109
TTP_instances_60_items_240,results_random_iteration_1_cities_60_items_240.json,1000,20103.90568264126,20072.735780487506,3339.686432742613,8994.238986924507,28607.030617537053
TTP_instances_60_items_60,results_random_iteration_1_cities_60_items_60.json,1000,-1799.2171268396605,-944.0935717357947,3506.2388039240527,-15756.219797035232,5671.999411358026
TTP_instances_80_items_160,results_random_iteration_1_cities_80_items_160.json,1000,7554.2396883443,7947.902770341954,3809.2324651191957,-7077.357324252742,18073.596650070776
TTP_instances_80_items_240,results_random_iteration_1_cities_80_items_240.json,1000,17383.27085269935,17569.846696764547,3700.074216041522,4669.671936668885,27156.048116780425
TTP_instances_80_items_320,results_random_iteration_1_cities_80_items_320.json,1000,27139.592867678635,27104.37825169689,3800.5991707367816,13336.275092759628,38155.152772239264
TTP_instances_80_items_80,results_random_iteration_1_cities_80_items_80.json,1000,-2511.146165081229,-1574.423769524774,4281.863270504555,-17885.181445568058,4804.539438720853
