group,num_ants,alpha,beta,evaporation_rate,q_percentage,iterations,fitness
100x100,200,1.5,3.0,0.7,0.2,100,10927.391031443669
100x100,100,0.5,1.0,0.7,0.2,100,10229.471695990247
100x100,100,0.5,1.0,0.7,0.2,50,9110.319480131775
100x100,100,0.5,1.0,0.7,0.1,100,10732.403129463803
100x100,100,0.5,1.0,0.7,0.1,50,8429.38843743277
100x100,100,0.5,1.0,0.3,0.2,100,10196.245158736354
100x100,100,0.5,1.0,0.3,0.2,50,10863.031453919495
100x100,100,0.5,1.0,0.3,0.1,100,11140.709381274824
100x100,100,0.5,1.0,0.3,0.1,50,11373.366075557125
100x100,50,1.5,3.0,0.7,0.2,100,9341.262697723481
100x100,50,1.5,3.0,0.7,0.2,50,8698.479920515323
100x100,50,1.5,3.0,0.7,0.1,100,9687.764458238842
100x100,50,1.5,3.0,0.7,0.1,50,9929.28210101924
100x100,100,0.5,3.0,0.3,0.1,50,13624.809474758367
100x100,50,1.5,3.0,0.3,0.2,100,12247.561571150542
100x100,50,1.5,3.0,0.3,0.1,100,14725.640174541964
100x100,50,1.5,3.0,0.3,0.1,50,12824.960839055348
100x100,50,1.5,1.0,0.7,0.2,100,5776.486867387781
100x100,50,1.5,1.0,0.7,0.2,50,8261.49007822459
100x100,50,1.5,1.0,0.7,0.1,100,6866.911711336943
100x100,50,1.5,1.0,0.7,0.1,50,5464.423742341454
100x100,50,1.5,1.0,0.3,0.2,100,9384.244360548868
100x100,50,1.5,1.0,0.3,0.2,50,9851.700965770335
100x100,50,1.5,1.0,0.3,0.1,100,9005.994769894936
100x100,50,1.5,1.0,0.3,0.1,50,8721.287221872808
100x100,50,0.5,3.0,0.7,0.2,100,12765.296952543198
100x100,50,0.5,3.0,0.7,0.2,50,14978.319895439448
100x100,50,1.5,3.0,0.3,0.2,50,12889.78551895404
100x100,50,0.5,3.0,0.7,0.1,100,12924.780994989658
100x100,100,0.5,3.0,0.3,0.1,100,13930.617601343241
100x100,100,0.5,3.0,0.3,0.2,100,14038.740953430468
100x100,200,0.5,1.0,0.7,0.1,100,10206.817585713832
100x100,200,0.5,1.0,0.7,0.1,50,8605.32160977835
100x100,200,0.5,1.0,0.3,0.2,100,10860.17564460185
100x100,200,0.5,1.0,0.3,0.2,50,10386.442784103072
100x100,200,0.5,1.0,0.3,0.1,100,9858.520803091355
100x100,200,0.5,1.0,0.3,0.1,50,13101.886678244144
100x100,100,1.5,3.0,0.7,0.2,100,10435.231395126284
100x100,100,1.5,3.0,0.7,0.2,50,9783.868503233729
100x100,100,1.5,3.0,0.7,0.1,100,10771.451787650625
100x100,100,1.5,3.0,0.7,0.1,50,9915.035989759948
100x100,100,1.5,3.0,0.3,0.2,100,13818.482325607956
100x100,100,1.5,3.0,0.3,0.2,50,13066.822598707353
100x100,100,0.5,3.0,0.3,0.2,50,14558.865195929879
100x100,100,1.5,3.0,0.3,0.1,100,14557.77301957021
100x100,100,1.5,1.0,0.7,0.2,100,5326.537361674555
100x100,100,1.5,1.0,0.7,0.2,50,7075.265351630155
100x100,100,1.5,1.0,0.7,0.1,100,7388.863476152846
100x100,100,1.5,1.0,0.7,0.1,50,7960.272989349552
100x100,100,1.5,1.0,0.3,0.2,100,9736.259857267734
100x100,100,1.5,1.0,0.3,0.2,50,8292.156647485986
100x100,100,1.5,1.0,0.3,0.1,100,8628.20842665142
100x100,100,1.5,1.0,0.3,0.1,50,9641.363417410472
100x100,100,0.5,3.0,0.7,0.2,100,13395.74454699343
100x100,100,0.5,3.0,0.7,0.2,50,14027.295248279686
100x100,100,0.5,3.0,0.7,0.1,100,12730.039924798088
100x100,100,0.5,3.0,0.7,0.1,50,13560.632346832597
100x100,100,1.5,3.0,0.3,0.1,50,12921.910807020891
100x100,200,0.5,1.0,0.7,0.2,50,10221.238528507929
100x100,50,0.5,3.0,0.7,0.1,50,12695.202364799901
100x100,50,0.5,3.0,0.3,0.2,50,14244.239860890093
100x100,200,0.5,3.0,0.3,0.2,100,12124.805255291601
100x100,200,0.5,3.0,0.3,0.2,50,11621.377061564563
100x100,200,0.5,3.0,0.3,0.1,100,12559.91650837975
100x100,200,0.5,3.0,0.3,0.1,50,12114.464765159852
100x100,200,0.5,1.0,0.7,0.2,100,7143.624276777387
100x100,200,0.5,1.0,0.7,0.2,50,8111.06609950754
100x100,200,0.5,1.0,0.7,0.1,100,6917.883554937343
100x100,200,0.5,1.0,0.7,0.1,50,6974.16077166472
100x100,200,0.5,1.0,0.3,0.2,100,8737.222309145654
100x100,200,0.5,1.0,0.3,0.2,50,8522.564554393786
100x100,200,0.5,1.0,0.3,0.1,100,7375.092862656891
100x100,200,0.5,1.0,0.3,0.1,50,7945.951320888281
100x100,200,0.5,3.0,0.7,0.1,50,11101.968221109364
100x100,100,1.5,3.0,0.7,0.2,100,9724.681541244632
100x100,100,1.5,3.0,0.7,0.1,100,9273.338723635869
100x100,100,1.5,3.0,0.7,0.1,50,9349.592653749758
100x100,100,1.5,3.0,0.3,0.2,100,12234.976758089779
100x100,100,1.5,3.0,0.3,0.2,50,11611.779073424541
100x100,100,1.5,3.0,0.3,0.1,100,10171.885257341997
100x100,100,1.5,3.0,0.3,0.1,50,10849.93227019287
100x100,100,1.5,1.0,0.7,0.2,100,5769.8355903108295
100x100,100,1.5,1.0,0.7,0.2,50,5278.3501696675585
100x100,100,1.5,1.0,0.7,0.1,100,5871.951218853289
100x100,100,1.5,1.0,0.7,0.1,50,5134.198886700542
100x100,100,1.5,1.0,0.3,0.2,100,6956.328169224504
100x100,100,1.5,1.0,0.3,0.2,50,7300.906959110429
100x100,100,1.5,3.0,0.7,0.2,50,9470.790147725746
100x100,50,0.5,3.0,0.3,0.2,100,14191.671811191067
100x100,200,0.5,3.0,0.7,0.1,100,11851.752151545592
100x100,200,0.5,3.0,0.7,0.2,100,10119.201252762608
100x100,50,0.5,3.0,0.3,0.1,100,14079.74498241634
100x100,50,0.5,3.0,0.3,0.1,50,12696.364920144586
100x100,50,0.5,1.0,0.7,0.2,100,8125.432915442736
100x100,50,0.5,1.0,0.7,0.2,50,8376.475341871124
100x100,50,0.5,1.0,0.7,0.1,100,10058.594421174996
100x100,50,0.5,1.0,0.7,0.1,50,8090.091638123929
100x100,50,0.5,1.0,0.3,0.2,100,9141.701418103501
100x100,50,0.5,1.0,0.3,0.2,50,10342.27997648349
100x100,50,0.5,1.0,0.3,0.1,100,11078.535916922669
100x100,50,0.5,1.0,0.3,0.1,50,10197.269508671216
100x100,200,1.5,3.0,0.7,0.2,100,9557.18635688164
100x100,200,1.5,3.0,0.7,0.2,50,9515.230914960766
100x100,200,0.5,3.0,0.7,0.2,50,11902.413712738511
100x100,200,1.5,3.0,0.7,0.1,100,9548.52712731962
100x100,200,1.5,3.0,0.3,0.2,100,10481.618597556093
