group,num_ants,alpha,beta,evaporation_rate,q_percentage,iterations,fitness
100x100,200,0.5,3.0,0.3,0.1,100,18435.53721342474
100x100,200,0.5,3.0,0.3,0.1,50,18366.52505998659
100x100,200,0.5,3.0,0.7,0.1,50,18218.93144045308
100x100,200,1.5,3.0,0.3,0.2,50,18052.210066257707
100x100,100,1.5,3.0,0.3,0.1,100,17498.117670967586
100x100,100,0.5,3.0,0.3,0.2,100,17467.81454260512
100x100,200,0.5,3.0,0.3,0.2,50,17276.743231227916
100x100,100,0.5,3.0,0.3,0.1,50,17231.609576711708
100x100,50,0.5,3.0,0.3,0.2,100,17121.302070122085
100x100,50,0.5,3.0,0.3,0.2,50,17106.693269519732
100x200,50,0.5,3.0,0.3,0.1,100,33047.90269953853
100x200,50,0.5,3.0,0.7,0.2,50,32836.36940774232
100x200,200,0.5,3.0,0.3,0.1,100,32240.97515530754
100x200,100,0.5,3.0,0.3,0.1,50,32121.82466934849
100x200,200,0.5,3.0,0.3,0.1,50,32083.642251354915
100x200,200,0.5,3.0,0.3,0.2,100,32083.08770557747
100x200,100,0.5,3.0,0.3,0.2,100,32054.98850285247
100x200,100,0.5,3.0,0.3,0.2,50,31983.57313331013
100x200,200,0.5,3.0,0.3,0.2,50,31958.121504478444
100x200,100,0.5,3.0,0.3,0.1,50,31946.73586619262
100x300,200,0.5,3.0,0.3,0.1,50,47246.347038687985
100x300,200,0.5,3.0,0.3,0.1,100,46691.70745763259
100x300,100,1.5,3.0,0.3,0.1,50,46531.462698104355
100x300,200,0.5,3.0,0.3,0.2,50,46482.5589900774
100x300,100,1.5,3.0,0.3,0.1,100,46357.924925404535
100x300,200,1.5,3.0,0.3,0.2,100,46006.19476747072
100x300,100,0.5,3.0,0.3,0.2,50,45661.637166339235
100x300,200,0.5,3.0,0.7,0.2,100,45641.573214834585
100x300,200,1.5,3.0,0.3,0.1,100,45522.17460751717
100x300,50,0.5,3.0,0.7,0.1,50,45478.469584818915
100x400,50,0.5,3.0,0.3,0.1,50,64713.51591335409
100x400,100,0.5,3.0,0.7,0.1,100,61830.30227496041
100x400,200,1.5,3.0,0.3,0.1,50,61189.638460593436
100x400,100,1.5,3.0,0.3,0.1,50,61122.709140449806
100x400,200,0.5,3.0,0.3,0.1,50,61077.71665669394
100x400,200,1.5,3.0,0.3,0.2,100,61076.78187793317
100x400,100,0.5,3.0,0.3,0.2,50,60329.478208415836
100x400,50,0.5,3.0,0.7,0.1,100,60201.73280191632
100x400,200,0.5,3.0,0.7,0.2,50,60059.004468215775
100x400,100,0.5,3.0,0.7,0.2,50,59409.180206860416
20x20,40,0.5,3.0,0.3,0.1,50,4386.930502246845
20x20,10,0.5,3.0,0.3,0.1,100,4139.033620768405
20x20,40,0.5,3.0,0.7,0.2,100,4122.65293291068
20x20,20,0.5,3.0,0.3,0.1,100,4037.069796474576
20x20,10,1.5,3.0,0.3,0.2,100,4033.7893685895783
20x20,10,0.5,3.0,0.3,0.1,100,3928.380704530865
20x20,20,0.5,1.0,0.3,0.2,100,3907.912264712473
20x20,10,0.5,3.0,0.3,0.1,50,3899.954291470801
20x20,20,0.5,1.0,0.3,0.2,100,3853.608502501429
20x20,10,0.5,1.0,0.3,0.1,100,3849.9288370539907
20x40,40,0.5,1.0,0.3,0.2,50,8810.801677492394
20x40,40,0.5,3.0,0.7,0.1,50,8547.091167271501
20x40,40,0.5,3.0,0.3,0.1,100,8460.588678495249
20x40,40,0.5,3.0,0.7,0.2,50,8346.160373956265
20x40,20,1.5,3.0,0.3,0.1,100,8327.045760486777
20x40,40,0.5,3.0,0.7,0.2,100,8316.375591009983
20x40,10,0.5,3.0,0.3,0.1,50,8309.409264724589
20x40,40,1.5,3.0,0.3,0.1,100,8281.40162305426
20x40,10,0.5,3.0,0.3,0.2,100,8269.032991728162
20x40,20,0.5,3.0,0.3,0.2,100,8264.96013254293
20x60,40,0.5,3.0,0.3,0.2,100,11158.115909122082
20x60,40,0.5,3.0,0.3,0.1,50,10833.244168273075
20x60,40,0.5,3.0,0.3,0.2,100,10812.942465498872
20x60,40,0.5,3.0,0.3,0.1,50,10753.010108341212
20x60,40,0.5,3.0,0.3,0.2,50,10662.410063541756
20x60,10,0.5,3.0,0.3,0.1,50,10552.230659284027
20x60,20,0.5,3.0,0.3,0.2,100,10466.088955728863
20x60,40,1.5,3.0,0.3,0.1,50,10457.495585979861
20x60,10,0.5,3.0,0.3,0.2,100,10447.500982460493
20x60,20,0.5,3.0,0.3,0.1,50,10300.592456349732
20x80,20,1.5,3.0,0.3,0.1,50,16618.2516413617
20x80,40,0.5,3.0,0.3,0.2,100,16576.35713612626
20x80,40,1.5,3.0,0.3,0.1,50,16121.078164556462
20x80,40,0.5,3.0,0.3,0.1,50,16097.939948562367
20x80,40,0.5,3.0,0.7,0.2,50,15894.746954189792
20x80,40,0.5,3.0,0.3,0.1,100,15829.189843340322
20x80,40,0.5,1.0,0.7,0.1,50,15819.52809669538
20x80,40,0.5,1.0,0.3,0.1,50,15732.15518743154
20x80,40,0.5,1.0,0.3,0.1,50,15603.74908535122
20x80,20,0.5,3.0,0.3,0.1,50,15572.984883703037
40x120,80,0.5,1.0,0.7,0.1,50,22421.020106289077
40x120,40,0.5,3.0,0.7,0.2,50,22321.715142943478
40x120,80,0.5,3.0,0.7,0.1,50,22266.763592863594
40x120,20,0.5,3.0,0.7,0.2,50,22239.5604773905
40x120,20,0.5,3.0,0.3,0.2,50,21963.695835908857
40x120,40,1.5,3.0,0.3,0.1,100,21908.15720878443
40x120,80,0.5,3.0,0.3,0.2,100,21897.7445498349
40x120,80,0.5,1.0,0.3,0.1,100,21853.58446193003
40x120,80,0.5,3.0,0.3,0.1,100,21790.9180373343
40x120,80,0.5,3.0,0.7,0.1,100,21774.913157069597
40x160,20,0.5,3.0,0.3,0.1,100,27354.76158713695
